Player ID,Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE,Onlist,Offlist,Rig %,Rigs,Solo rigs,Missed solos,Rigs hit,Rigs missed,Lives lost on rigs,Offlist erigs,avg/8 of your rigs,Offlist hit
1.0,2026-06-30 10:29:18,90.182,atsui,37.984,118.295,8.0,6,2.0,4.833,7,26.667,34.884,54.237,14.0,9.0,49.0,129.0,18.0,18.0,0.0,88.889,30.275,23.967,29.0,6.0,5.0,21.0,8.0,2.0,1.0,4.278,33.0
4.0,2026-04-08 02:58:33,160.43,watashiii,73.723,285.399,15.0,9,0.0,4.16,71,90,79.032,67.647,28.0,30.0,101.0,140.0,21.0,11.0,0.0,89.583,61.538,63.158,82.0,16.0,4.0,68.0,17.0,6.0,6.0,3.756,40.0
7.0,2026-01-05 04:57:28,20.806,Stunar,85.437,30.05,4.0,4,0.0,3.136,60,84.211,90.698,80.488,13.0,38.0,88.0,103.0,3.0,2.0,0.0,96.667,80.822,29.126,30.0,6.0,0.0,29.0,1.0,1.0,2.0,3.333,59.0
8.0,2026-03-09 22:30:42,107.16,Hejsan,47.273,123.133,4.0,6,1.0,4.404,23,72.727,50,47.619,9.0,20.0,57.0,132.0,11.0,8.0,1.0,75,32.53,38.095,49.0,10.0,5.0,30.0,19.0,4.0,0.0,3.9,27.0
14.0,2026-01-30 12:34:01,19.0,ArronChu,71.053,25.392,12.0,8,2.0,3.828,61,86.667,80,69.444,21.0,27.0,123.0,178.0,10.0,11.0,3.0,93.103,67.021,20.787,37.0,13.0,3.0,31.0,6.0,1.0,5.0,2.517,92.0
16.0,2026-06-06 08:23:49,134.314,yahallonyanpasu,49.505,227.385,17.0,9,5.0,3.644,48,78.571,63.077,46.341,21.0,25.0,74.0,160.0,109.0,92.0,2.0,95,43.396,36.207,47.0,21.0,5.0,38.0,17.0,5.0,3.0,3.367,46.0
18.0,2026-06-14 04:18:55,120.0,GyroInmobile,48.718,116.778,5.0,8,0.0,4.316,19,61.29,56.818,41.86,9.0,9.0,57.0,117.0,4.0,5.0,1.0,82.143,34.568,30.769,36.0,5.0,1.0,29.0,7.0,2.0,1.0,3.75,28.0
19.0,2026-07-05 07:05:09,146.39,Jlin2,86.726,277.718,15.0,8,0.0,4.027,62,96,93.182,81.818,23.0,37.0,117.0,148.0,37.0,38.0,2.0,98.214,80.556,42.105,58.0,12.0,2.0,55.0,3.0,1.0,4.0,3.853,79.0
20.0,2026-06-14 04:18:55,145.07,kar72,71.212,223.254,10.0,9,1.0,4.513,52,88.235,83.673,68.056,21.0,29.0,113.0,163.0,65.0,72.0,7.0,97.619,64.286,41.045,59.0,11.0,4.0,52.0,12.0,4.0,4.0,4.204,64.0
21.0,2026-06-25 15:13:14,158.681,PoolNoodle,82.432,252.512,15.0,9,0.0,4.264,66,93.75,83.721,89.13,21.0,40.0,122.0,160.0,109.0,129.0,6.0,97.368,79.661,30.714,43.0,16.0,2.0,40.0,3.0,1.0,5.0,3.786,94.0
23.0,2026-01-21 05:05:04,12.465,Shuuka,35.593,12.058,5.0,8,0.0,3.286,24,52.941,33.962,31.25,9.0,10.0,42.0,118.0,4.0,2.0,0.0,57.5,24.359,33.898,40.0,8.0,4.0,23.0,17.0,2.0,1.0,2.45,19.0
27.0,2026-07-04 14:16:30,138.792,Deafness,83.898,265.989,11.0,8,1.0,3.932,67,95.455,89.13,78,21.0,38.0,125.0,159.0,34.0,33.0,1.0,91.429,67.742,73.729,105.0,12.0,5.0,89.0,18.0,7.0,4.0,3.609,42.0
28.0,2026-03-01 11:42:23,172.15,FORTNAYT,79.839,258.788,8.0,6,0.0,3.535,58,88.889,85.965,72.727,24.0,31.0,99.0,127.0,8.0,4.0,0.0,96.154,68.056,41.935,52.0,14.0,1.0,50.0,2.0,1.0,3.0,3.514,58.0
30.0,2026-06-27 17:40:26,120.03,revel,58.407,141.888,7.0,6,0.0,3.967,33,69.231,57.143,66.667,15.0,17.0,66.0,123.0,8.0,7.0,0.0,95.122,37.5,36.283,41.0,8.0,2.0,39.0,4.0,2.0,1.0,3.439,27.0
31.0,2026-06-27 17:40:26,134.9,SakurabaRola,73.504,204.585,8.0,6,1.0,4.058,42,78.571,68.627,76.786,14.0,25.0,86.0,151.0,21.0,19.0,1.0,88.372,64.865,49.138,66.0,11.0,2.0,49.0,17.0,11.0,1.0,3.729,48.0
33.0,2026-05-26 08:41:45,138.788,Tsui,71.97,204.762,9.0,9,1.0,4.469,52,89.474,81.818,64.706,20.0,28.0,106.0,164.0,91.0,77.0,6.0,95,68.132,28.788,42.0,13.0,4.0,37.0,10.0,3.0,5.0,4.421,73.0
34.0,2026-06-01 21:08:47,162.43,YuriMeguri,75.51,222.642,7.0,9,0.0,4.211,52,93.548,81.967,69.048,20.0,43.0,114.0,167.0,17.0,11.0,1.0,93.443,64.045,41.497,63.0,11.0,5.0,57.0,10.0,3.0,3.0,3.934,61.0
36.0,2026-06-29 05:21:58,110.0,anonimus_opinion,52.756,149.526,5.0,6,2.0,4.444,38,50,61.538,46.667,13.0,21.0,82.0,166.0,9.0,8.0,0.0,78.947,41.573,34.351,46.0,9.0,2.0,36.0,12.0,3.0,2.0,3.889,46.0
37.0,2026-06-28 17:24:05,118.337,claydoll1091,57.759,186.241,12.0,9,2.0,4.646,37,56,66.667,59.524,18.0,18.0,79.0,178.0,97.0,94.0,3.0,92,51.111,9.821,41.0,16.0,4.0,32.0,9.0,3.0,3.0,3.818,51.0
38.0,2026-06-14 18:25:31,116.15,Diukes,53.191,153.418,10.0,7,2.0,4.307,35,69.231,72.881,53.846,16.0,18.0,75.0,144.0,17.0,15.0,2.0,75,39.759,45.833,66.0,11.0,5.0,44.0,22.0,6.0,2.0,3.966,33.0
40.0,2026-05-19 04:14:53,101.14,Kirivert,36.735,101.871,8.0,9,3.0,4.125,21,69.565,33.333,35.714,12.0,11.0,42.0,128.0,27.0,21.0,1.0,68.293,8.824,38.182,45.0,7.0,5.0,29.0,16.0,7.0,1.0,3.476,15.0
45.0,2026-05-23 22:05:11,122.83,Noru,60.656,148.233,7.0,8,1.0,4.311,29,80,59.459,63.077,12.0,14.0,74.0,122.0,18.0,12.0,0.0,88.889,48.75,44.262,54.0,10.0,3.0,48.0,12.0,3.0,2.0,4.074,39.0
46.0,2026-06-30 10:29:18,103.41,Orfey,41.406,143.379,8.0,9,2.0,4.233,26,78.947,54.054,50,13.0,16.0,57.0,149.0,35.0,33.0,0.0,81.481,31.25,40.299,54.0,12.0,5.0,36.0,20.0,6.0,2.0,3.354,25.0
47.0,2026-06-21 13:21:05,130.198,Renzou,60.784,194.06,10.0,9,1.0,4.38,38,84.211,70,57.143,14.0,18.0,79.0,151.0,44.0,35.0,1.0,97.727,44.776,42.748,56.0,13.0,3.0,43.0,14.0,3.0,1.0,3.755,38.0
