Player ID,Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE
8,2026-04-26 21:10:47,125.0,Hejsan,52.258,109.198,4,28,1,4.877,23,71.429,42.574,0,12,10,81,158,12,4,2
20,2026-02-05 22:26:52,16.0,kar72,55.782,15.955,8,25,1,4.171,33,60.87,53.465,0,16,17,82,147,4,2,0
38,2026-04-26 21:10:47,130.0,Diukes,53.435,189.723,12,17,4,4.711,36,46.296,56.989,0,22,10,76,155,14,3,1
41,2026-04-26 21:10:47,140.0,koroshiya,64.671,201.343,11,22,0,4.009,45,56.522,72.642,0,17,26,108,174,6,10,2
44,2026-02-25 22:28:29,115.5,Nicole,44.853,98.591,7,17,1,4.589,26,55.932,41.964,0,11,6,73,168,5,7,0
46,2026-04-26 21:10:47,115.0,Orfey,39.726,100.483,4,26,1,4.41,25,54.545,34.783,0,9,12,61,168,4,6,2
50,2026-03-05 22:25:43,130.0,Sniparook,57.857,182.215,9,16,0,3.728,40,62.791,55.67,0,15,21,81,140,3,3,0
51,2026-02-25 22:28:29,115.0,Chata,38.69,81.771,1,14,1,4.677,16,42.857,36.607,0,3,10,65,168,4,2,0
52,2026-04-26 21:10:47,118.66,Thaleko,58.282,135.096,5,19,0,4.558,31,65.079,54,0,14,22,95,163,9,3,0
76,2026-03-26 21:55:44,105.0,comfv,51.2,160.35,4,8,0,3.516,35,86.111,37.079,0,14,16,64,125,3,3,0
81,2026-03-26 21:55:44,105.0,Pile,29.808,74.95,2,12,1,4.0,13,56.25,18.056,0,5,5,31,104,6,0,0
83,2026-04-26 21:10:47,125.0,Milar,52.695,139.741,7,23,0,4.725,31,77.049,43.011,0,14,9,88,167,7,8,3
84,2026-04-26 21:10:47,115.98,Alkios,49.342,132.56,5,29,0,4.467,32,75,42.268,0,12,20,75,168,14,15,1
91,2026-03-26 21:55:44,115.08,Baikinman,51.471,111.145,5,17,2,4.257,30,83.051,27.273,0,9,15,70,136,2,10,0
97,2026-04-26 21:10:47,100.0,chaabdu92,29.452,60.398,1,23,1,4.86,15,45.455,22.549,0,6,5,43,146,3,2,1
103,2026-03-05 22:25:43,110.0,mrwolf2,43.038,113.603,4,28,0,4.191,28,53.061,38.532,0,15,11,68,158,4,1,1
106,2026-02-25 22:28:29,93.3,cafezinho,37.725,60.303,4,17,1,5.175,12,50.82,30.189,0,4,3,63,167,3,7,2
115,2026-04-26 21:10:47,97.7,Saiki,31.288,75.32,5,29,4,5.139,8,42.857,31,0,9,5,51,163,12,15,3
121,2026-03-26 21:55:44,90.0,Janoxx,26.923,74.217,0,16,1,5.226,5,37.5,22.222,0,8,4,31,140,9,3,0
143,2026-04-26 21:10:47,85.5,mahzrunner,26.531,49.713,3,25,1,5.359,8,39.623,23.762,0,5,5,40,174,10,12,0
153,2026-02-25 22:28:29,100.0,Poppysr,29.032,45.553,1,10,4,5.422,11,55.556,14.851,0,3,4,45,155,3,2,1
155,2026-03-05 22:25:43,80.0,Unborned,17.143,25.064,0,16,0,5.333,6,32.558,10.309,0,2,3,24,140,3,3,0
175,2026-04-26 21:10:47,90.0,Kirox,27.2,35.239,0,13,0,5.559,5,32.609,24.051,0,2,1,34,125,1,5,0
221,2026-03-05 22:25:43,90.0,Neumann,44.444,75.709,1,5,3,5.227,9,43.243,45.161,0,4,15,59,174,5,4,1
228,2026-04-26 21:10:47,110.78,Dry,36.905,122.863,8,8,3,4.745,28,41.379,38.261,0,15,14,62,168,13,15,2
241,2026-04-26 21:10:47,100.0,yasashiikumo,38.608,66.798,4,23,1,5.066,9,34.694,40.367,0,6,4,61,158,4,6,2
250,2026-04-26 21:10:47,105.0,md22,33.6,56.786,0,13,0,5.095,10,41.304,29.114,0,4,2,42,125,1,5,0
263,2026-03-26 21:55:44,95.0,Tvaz,23.485,34.38,0,19,0,5.129,5,48.718,12.903,0,3,2,31,132,2,4,0
274,2026-02-05 22:26:52,13.0,Mami,44.218,10.301,4,25,0,4.615,20,45.652,43.564,0,12,4,65,147,4,2,0
289,2026-03-05 22:25:43,97.33,Provenance,33.742,54.552,6,26,2,5.055,9,47.17,27,0,8,4,56,168,5,6,1
307,2026-03-26 21:55:44,100.0,kaededayo,35.2,94.44,3,8,0,3.932,17,47.222,30.337,0,9,9,44,125,3,3,0
327,2026-03-26 21:55:44,99.11,Flato,38.158,67.992,4,28,1,5.085,16,65.306,26.596,0,7,6,59,158,14,8,2
335,2026-03-05 22:25:43,85.0,xeyz,26.786,43.827,1,26,5,4.956,8,43.396,19.13,0,1,4,45,168,1,4,1
336,2026-02-05 22:26:52,9.5,fiftypercentweeb,34.969,6.261,0,19,1,5.07,14,41.27,31,0,1,5,57,163,4,2,0
348,2026-02-05 22:26:52,6.5,Heleos,30.263,4.169,0,17,1,5.478,5,43.103,22.34,0,1,4,46,152,3,3,0
382,2026-03-26 21:55:44,75.0,Shiku,14.394,21.856,0,19,2,5.158,6,30.769,7.527,0,1,1,19,132,2,4,0
384,2026-02-25 22:28:29,150.0,Miki_Hoshii,66.456,187.338,8,12,1,4.2,38,81.633,59.633,0,16,17,105,158,1,4,1
398,2026-02-05 22:26:52,6.5,kabao,25.17,4.525,2,25,1,5.297,8,36.957,19.802,0,6,1,37,147,4,2,0
401,2026-04-26 21:10:47,80.0,Spartric,26.4,56.438,2,13,1,5.0,11,41.304,17.722,0,5,4,33,125,1,5,0
403,2026-03-26 21:55:44,95.0,AnnaYanami,24.752,60.161,3,11,0,4.44,9,35.484,20,0,4,3,25,101,1,5,0
410,2026-02-05 22:26:52,6.0,FoopyPoopy,8.824,1.348,1,17,6,5.917,3,11.864,6.494,0,2,0,12,136,1,5,0
416,2026-02-25 22:28:29,85.0,OkitaNobu,19.76,27.326,1,12,5,5.667,4,32.787,12.264,0,3,0,33,167,2,2,2
422,2026-03-26 21:55:44,75.0,MapleSyyrup,7.2,10.856,0,8,1,5.111,1,13.889,4.494,0,1,0,9,125,3,3,0
430,2026-03-05 22:25:43,100.0,HaruUrara,29.885,71.579,1,22,1,4.115,18,32.075,28.926,0,7,5,52,174,3,3,0
521,2026-04-26 21:10:47,50.0,lotte_616,6.107,7.381,0,17,8,5.875,2,7.895,5.376,0,0,1,8,131,5,1,0
