Player ID,PlayerName,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,TotalSongs,WIN,LOSE,TIE,Samples
8,Hejsan,45.549,3.0,0.333,4.623,10.333,6.667,148.0,12,4,2,3
20,kar72,55.782,8.0,1.0,4.171,16.0,17.0,147.0,4,2,0,1
27,Deafness,53.846,19.0,0.0,3.0,29.0,30.0,156.0,2,4,0,1
38,Diukes,51.34,7.5,1.25,3.976,15.25,12.5,131.25,17,6,1,4
41,koroshiya,57.765,10.0,0.0,3.815,14.0,24.667,155.333,6,10,2,3
44,Nicole,44.152,5.0,0.5,4.434,10.0,5.0,152.0,5,7,0,2
46,Orfey,38.018,3.5,0.5,4.386,7.0,10.5,157.0,4,6,2,2
50,Sniparook,57.857,9.0,0.0,3.728,15.0,21.0,140.0,3,3,0,1
51,Chata,38.69,1.0,1.0,4.677,3.0,10.0,168.0,4,2,0,1
52,Thaleko,55.477,4.0,0.0,4.416,11.5,14.5,147.0,9,3,0,2
76,comfv,48.74,5.5,1.0,3.508,13.0,15.5,123.0,7,5,0,2
81,Pile,29.808,2.0,1.0,4.0,5.0,5.0,104.0,6,0,0,1
83,Milar,49.732,3.0,0.0,4.382,8.667,8.333,148.333,7,8,3,3
84,Alkios,47.433,4.833,0.0,4.252,9.167,13.0,149.333,16,19,1,6
91,Baikinman,46.032,5.0,1.0,4.116,7.5,11.0,118.5,2,10,0,2
97,chaabdu92,29.452,1.0,1.0,4.86,6.0,5.0,146.0,3,2,1,1
98,Comete,37.41,7.0,1.0,3.962,9.0,7.0,139.0,1,5,0,1
102,MoltenAshes,22.656,1.0,0.0,4.552,1.0,6.0,128.0,3,3,0,1
103,mrwolf2,43.038,4.0,0.0,4.191,15.0,11.0,158.0,4,1,1,1
106,cafezinho,38.029,1.667,0.667,4.979,3.333,3.333,141.667,6,10,2,3
115,Saiki,26.891,3.833,2.5,4.622,6.667,3.833,143.667,15,18,3,6
121,Janoxx,23.793,1.0,0.667,4.422,5.0,2.667,121.667,13,5,0,3
143,mahzrunner,22.298,1.667,1.0,4.761,4.167,2.333,136.5,14,20,0,6
153,Poppysr,29.032,1.0,4.0,5.422,3.0,4.0,155.0,3,2,1,1
155,Unborned,17.143,0.0,0.0,5.333,2.0,3.0,140.0,3,3,0,1
160,Skychael,28.099,5.0,0.0,4.235,8.0,3.0,121.0,4,2,0,1
169,yashadox,24.793,1.0,0.0,4.567,4.0,6.0,121.0,4,2,0,1
175,Kirox,26.018,1.5,0.0,4.872,5.0,2.0,139.0,7,5,0,2
181,Yolowolf75,26.619,2.0,1.0,4.73,3.0,3.0,139.0,1,5,0,1
221,Neumann,39.176,0.5,2.0,4.749,2.5,9.5,136.5,5,4,1,2
228,Dry,35.879,6.167,1.167,4.171,10.5,8.167,149.167,16,18,2,6
241,yasashiikumo,33.035,3.25,1.0,4.827,4.75,4.25,146.75,7,15,2,4
250,md22,33.6,0.0,0.0,5.095,4.0,2.0,125.0,1,5,0,1
259,Patoche49,16.547,2.0,2.0,5.522,2.0,0.0,139.0,1,5,0,1
263,Tvaz,23.485,0.0,0.0,5.129,3.0,2.0,132.0,2,4,0,1
274,Mami,44.218,4.0,0.0,4.615,12.0,4.0,147.0,4,2,0,1
289,Provenance,33.537,3.5,1.0,5.046,4.5,3.5,165.5,5,6,1,2
307,kaededayo,35.2,3.0,0.0,3.932,9.0,9.0,125.0,3,3,0,1
311,beautiful,35.156,7.0,0.0,3.644,7.0,12.0,128.0,3,3,0,1
327,Flato,33.39,1.8,0.6,4.824,5.6,3.2,143.2,16,12,2,5
335,xeyz,26.786,1.0,5.0,4.956,1.0,4.0,168.0,1,4,1,1
336,fiftypercentweeb,34.969,0.0,1.0,5.07,1.0,5.0,163.0,4,2,0,1
343,inta,10.156,0.0,0.0,4.923,1.0,3.0,128.0,3,3,0,1
347,Selaph,41.803,2.0,0.0,4.804,5.0,8.0,122.0,3,3,0,1
348,Heleos,30.263,0.0,1.0,5.478,1.0,4.0,152.0,3,3,0,1
361,Theaddist,37.778,2.0,0.0,4.98,6.0,5.0,135.0,3,3,0,1
382,Shiku,14.394,0.0,2.0,5.158,1.0,1.0,132.0,2,4,0,1
384,Miki_Hoshii,66.456,8.0,1.0,4.2,16.0,17.0,158.0,1,4,1,1
387,ponbot,17.969,3.0,0.0,4.391,4.0,1.0,128.0,3,3,0,1
398,kabao,25.17,2.0,1.0,5.297,6.0,1.0,147.0,4,2,0,1
400,Vr0003,13.725,2.0,0.0,4.619,4.0,3.0,153.0,6,0,0,1
401,Spartric,26.4,2.0,1.0,5.0,5.0,4.0,125.0,1,5,0,1
403,AnnaYanami,24.752,3.0,0.0,4.44,4.0,3.0,101.0,1,5,0,1
410,FoopyPoopy,10.708,1.0,5.0,5.958,2.0,0.0,135.5,4,8,0,2
416,OkitaNobu,19.76,1.0,5.0,5.667,3.0,0.0,167.0,2,2,2,1
422,MapleSyyrup,7.2,0.0,1.0,5.111,1.0,0.0,125.0,3,3,0,1
430,HaruUrara,29.885,1.0,1.0,4.115,7.0,5.0,174.0,3,3,0,1
480,Tugia,17.949,0.0,0.0,4.679,5.0,1.0,156.0,2,4,0,1
496,lotte_616,6.107,0.0,8.0,5.875,0.0,1.0,131.0,5,1,0,1
502,Bewm,3.846,1.0,4.0,4.5,2.0,1.0,156.0,2,4,0,1
505,MaikaSasaki,16.34,2.0,0.0,4.48,5.0,4.0,153.0,6,0,0,1
506,tmokenc,44.444,3.0,2.0,4.333,9.0,10.0,135.0,3,3,0,1
