Tournament Date,Player ID,player name,guess rate,usefulness,avg diff,erigs,avg /8 correct,OP guess rate,ED guess rate,IN guess rate,rigs,rigs hit,correct count,song count,Rigs missed,Offlist GR
2025-03-25,1,Atsui_,30.588,8.211,28.509,2,4.5,30.435,26.667,34.375,9,8,26,85,1,23.68%
2025-06-03,1,Atsui_,33.766,8.336,28.146,3,4.269,22.727,26.087,46.032,23,19,52,154,4,25.19%
2025-06-06,1,Atsui_,30.894,7.561,29.832,0,4.368,6.667,32.432,42.857,22,17,38,123,5,20.79%
2025-06-30,1,Atsui_,32.653,9.791,28.695,2,4.094,26.316,26.829,42.105,24,21,32,98,3,14.86%
2025-07-05,1,Dummy_,39.535,9.337,29.567,2,4.412,5.882,36.207,53.704,27,23,51,129,4,27.45%
2025-07-22,1,Dummy_,41.322,9.718,28.653,2,4.14,29.63,30.769,61.905,23,17,50,121,6,33.67%
2025-07-22,1,Dummy_,29.703,7.791,27.215,2,4.067,20,24.324,38.636,20,16,30,101,4,17.28%
2025-09-09,1,Atsui_,32.653,9.466,29.648,3,4.281,23.077,23.81,44.186,11,9,32,98,2,26.44%
2025-03-09,4,AKl,74.074,27.383,24.017,5,3.475,76.923,73.171,73.171,58,51,80,108,7,58.00%
2025-03-13,4,AKl,73.451,26.231,25.333,8,3.699,91.304,66.667,71.111,67,57,83,113,10,56.52%
2025-03-23,4,AKl,79.439,29.93,24.678,7,3.435,91.304,80.851,70.27,61,55,85,107,6,65.22%
2025-03-25,4,AKl,73.333,28.01,24.775,11,3.519,66.667,76.596,72.973,45,41,77,105,4,60.00%
2025-04-03,4,AKl,76.433,26.157,25.679,7,3.95,80.769,75.758,75.385,89,80,120,157,9,58.82%
2025-04-05,4,AKl,64.103,23.115,26.811,8,3.973,62.5,63.158,65.909,50,40,75,117,10,52.24%
2025-04-19,4,poyoyoyoyo,69.355,23.175,27.416,5,4.128,80,63.636,71.429,70,57,86,124,13,53.70%
2025-05-10,4,poyoyoyoyo,73.585,23.482,28.062,4,3.769,88.889,76.923,65.306,55,42,78,106,13,70.59%
2025-07-26,4,poyoyoyoyo,83.158,27.282,24.421,6,3.785,88.235,85.106,77.419,49,42,79,95,7,80.43%
