Player ID,PlayerName,ELONOWR,RANK,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,TotalSongs,WIN,LOSE,TIE,Samples,WINSTREAK,LOSESTREAK,TIESTREAK,ELO
1,atsui,48.73,0.162,0.153,0.0,4.75,0.334,2.0,0.5,157.0,11,12,1,4,11,12,1,48.73
4,watashiii,144.67,0.482,0.825,0.005,0.667,0.59,17.333,34.667,137.333,8,9,0,3,8,9,0,144.67
8,Hejsan,120.81,0.403,0.672,0.001,0.4,0.514,9.5,18.4,149.4,33,24,5,10,31,20,5,120.81
12,KaoriMaeda,84.79,0.283,0.436,0.0,0.5,0.399,3.5,3.0,145.5,9,3,0,2,9,3,0,84.79
14,ArronChu,125.56,0.419,0.66,0.003,1.75,0.575,12.25,17.75,140.0,15,6,1,4,15,6,1,125.56
20,kar72,102.51,0.342,0.528,0.0,0.0,0.482,3.667,16.333,137.0,7,9,0,3,7,9,0,102.51
21,PoolNoodle,95.31,0.318,0.504,0.001,0.0,0.434,3.5,9.5,153.0,8,3,0,2,8,3,0,95.31
31,SakurabaRola,97.02,0.323,0.448,0.001,0.0,0.512,5.0,9.0,134.0,1,4,0,1,1,4,0,97.02
33,Tsui,134.75,0.449,0.726,0.0,0.0,0.599,8.0,21.0,106.0,1,4,0,1,1,4,0,134.75
37,claydoll1091,75.7,0.252,0.296,0.0,0.0,0.458,3.0,2.0,115.0,2,3,0,1,2,3,0,75.7
38,Diukes,81.62,0.272,0.384,0.001,2.0,0.423,4.0,2.5,159.0,6,5,1,2,6,5,1,81.62
41,koroshiya,96.32,0.321,0.475,0.001,0.6,0.475,5.2,8.6,122.2,12,11,2,5,12,11,2,96.32
44,Nicole,85.26,0.284,0.392,0.0,0.75,0.452,4.75,2.25,146.75,14,6,2,4,14,6,2,85.26
45,LeNainDuPSG,98.8,0.329,0.488,0.001,0.5,0.488,5.0,6.0,98.5,6,3,0,2,6,3,0,98.8
46,Orfey,96.14,0.32,0.48,0.001,2.5,0.468,9.5,9.5,166.5,8,2,2,2,8,2,2,96.14
49,accelerator11,156.67,0.522,0.874,0.007,0.0,0.659,17.667,36.5,108.5,11,21,0,6,11,21,0,156.67
51,Chata,88.5,0.295,0.415,0.001,1.667,0.46,4.0,5.0,132.333,8,6,2,3,8,6,2,88.5
52,Thaleko,99.05,0.33,0.555,0.0,1.5,0.418,3.5,7.0,170.0,6,4,2,2,6,4,2,99.05
59,neoburnz,93.84,0.313,0.478,0.001,2.0,0.447,5.5,6.5,153.5,10,2,0,2,10,2,0,93.84
64,Yokipi,71.51,0.238,0.308,0.0,1.667,0.402,1.667,1.667,134.667,8,8,0,3,8,8,0,71.51
65,Baguett,120.59,0.402,0.606,0.002,0.0,0.582,8.5,14.0,108.5,5,5,0,2,5,5,0,120.59
72,ruuka,91.41,0.305,0.496,0.0,1.667,0.404,2.667,6.667,155.667,9,5,3,3,9,5,3,91.41
76,comfv,147.97,0.493,0.791,0.004,1.0,0.662,10.0,32.0,86.0,0,5,0,1,0,5,0,147.97
79,JuliAless64,85.36,0.285,0.423,0.0,0.0,0.42,2.667,3.667,134.0,10,6,0,3,10,6,0,85.36
80,moosepi,112.28,0.374,0.574,0.0,0.0,0.533,3.0,20.0,141.0,0,6,0,1,0,6,0,112.28
81,Pile,103.91,0.346,0.529,0.001,0.3,0.494,7.8,11.5,143.8,33,37,2,10,27,29,1,103.91
82,ShiinaMahiru,73.69,0.246,0.339,0.0,1.857,0.391,2.714,4.286,152.571,13,26,2,7,13,26,2,73.69
83,Milar,123.64,0.412,0.716,0.001,0.3,0.496,9.5,20.3,152.3,54,52,4,10,28,26,2,123.64
84,Alkios,126.24,0.421,0.698,0.002,0.4,0.541,12.4,21.2,146.3,63,49,4,10,36,22,0,126.24
85,Animerod,85.34,0.284,0.377,0.001,1.5,0.469,6.25,4.5,131.0,15,8,0,4,15,8,0,85.34
88,Emdiel,64.7,0.216,0.312,0.0,4.0,0.327,4.0,1.0,144.0,5,1,0,1,5,1,0,64.7
90,Keizan,85.98,0.287,0.394,0.001,0.667,0.457,4.0,7.333,138.667,9,8,0,3,9,8,0,85.98
91,Baikinman,133.21,0.444,0.744,0.003,0.3,0.562,13.6,22.6,137.2,60,58,7,10,27,25,4,133.21
92,Kuterin,91.92,0.306,0.352,0.001,3.0,0.563,7.0,7.0,142.0,6,6,0,2,6,6,0,91.92
97,chaabdu92,79.22,0.264,0.357,0.0,0.667,0.428,4.0,3.0,141.0,5,11,1,3,5,11,1,79.22
98,Comete,106.88,0.356,0.565,0.001,0.4,0.487,7.5,11.9,133.6,34,23,2,10,30,22,2,106.88
100,IrinaShidou,85.72,0.286,0.431,0.001,0.0,0.415,4.667,3.0,133.0,7,7,1,3,7,7,1,85.72
102,MoltenAshes,68.58,0.229,0.327,0.0,0.5,0.351,3.0,2.0,144.0,4,7,1,2,4,7,1,68.58
103,mrwolf2,89.67,0.299,0.429,0.001,1.0,0.458,7.0,7.0,161.0,3,2,1,1,3,2,1,89.67
106,cafezinho,79.14,0.264,0.387,0.0,0.4,0.395,3.2,4.0,152.0,15,13,2,5,15,13,2,79.14
112,Legitted,75.04,0.25,0.317,0.0,0.0,0.429,3.0,2.0,120.0,2,3,0,1,2,3,0,75.04
113,Maki04,88.5,0.295,0.426,0.0,0.667,0.449,2.0,4.0,128.333,11,5,0,3,11,5,0,88.5
115,Saiki,74.1,0.247,0.279,0.0,3.8,0.459,5.1,3.5,144.9,95,105,8,10,28,28,3,74.1
121,Janoxx,79.86,0.266,0.339,0.0,2.0,0.454,4.9,5.7,143.5,43,42,3,10,29,27,1,79.86
123,Konsumenci,80.52,0.268,0.371,0.001,1.4,0.426,5.3,4.6,146.4,90,83,3,10,35,23,1,80.52
125,paperyoshi10,129.65,0.432,0.719,0.002,0.0,0.553,13.4,20.2,140.8,13,16,0,5,13,16,0,129.65
126,shadismith,57.42,0.191,0.189,0.0,3.0,0.386,1.0,0.0,106.0,0,5,0,1,0,5,0,57.42
129,peeku,86.09,0.287,0.469,0.0,1.0,0.378,3.0,5.0,179.0,3,3,0,1,3,3,0,86.09
133,ChrisLefko,96.32,0.321,0.497,0.001,0.4,0.451,6.5,8.3,151.1,88,79,10,10,29,26,5,96.32
134,Jakemonkey,72.83,0.243,0.289,0.0,2.0,0.436,6.0,0.0,135.0,1,5,0,1,1,5,0,72.83
136,Megu29,58.09,0.194,0.228,0.0,4.0,0.35,1.0,1.0,136.0,6,0,0,1,6,0,0,58.09
143,mahzrunner,62.17,0.207,0.242,0.0,1.9,0.377,1.4,2.5,145.1,51,39,4,10,28,26,3,62.17
144,liljakatsuragi,57.79,0.193,0.237,0.0,1.0,0.337,2.0,1.0,134.25,8,14,1,4,8,14,1,57.79
146,tapumomo,59.58,0.199,0.276,0.0,0.0,0.314,1.0,0.0,127.0,2,3,0,1,2,3,0,59.58
148,uy5gf,66.85,0.223,0.29,0.0,4.0,0.373,1.0,1.0,169.0,2,4,0,1,2,4,0,66.85
153,Poppysr,89.64,0.299,0.415,0.001,1.5,0.472,6.4,6.8,145.6,32,34,2,10,26,29,2,89.64
155,Unborned,62.71,0.209,0.243,0.0,1.75,0.382,1.125,1.75,116.75,14,28,0,8,14,28,0,62.71
159,legrandort,46.76,0.156,0.149,0.0,2.0,0.319,0.5,2.0,122.25,9,11,2,4,9,11,2,46.76
160,Skychael,73.21,0.244,0.317,0.0,3.0,0.409,3.0,1.5,148.5,7,14,1,4,7,14,1,73.21
161,Slizzer,28.23,0.094,0.06,0.0,3.0,0.225,0.0,0.0,117.0,4,5,1,2,4,5,1,28.23
168,Lightning,64.14,0.214,0.3,0.0,1.333,0.335,1.0,2.667,131.0,10,7,0,3,10,7,0,64.14
169,yashadox,61.9,0.206,0.214,0.0,1.333,0.404,1.0,1.333,111.667,4,11,0,3,4,11,0,61.9
171,JustAWeirdo,45.24,0.151,0.092,0.0,3.0,0.365,0.0,1.0,98.0,3,2,0,1,3,2,0,45.24
174,TateyamaAyano,56.16,0.187,0.097,0.0,0.0,0.471,0.0,3.0,103.0,0,5,0,1,0,5,0,56.16
175,Kirox,74.31,0.248,0.329,0.0,1.875,0.408,2.5,2.875,133.375,18,22,3,8,18,22,3,74.31
177,oh95,89.8,0.299,0.463,0.0,1.0,0.422,4.7,5.8,155.2,46,47,6,10,30,21,6,89.8
181,Yolowolf75,96.36,0.321,0.52,0.001,0.6,0.428,5.0,6.7,144.5,28,28,5,10,27,25,4,96.36
194,Math1234,120.23,0.401,0.633,0.001,0.0,0.55,11.0,19.0,139.0,3,1,1,1,3,1,1,120.23
217,ShelterRin,66.42,0.221,0.272,0.0,1.0,0.389,0.0,2.0,92.0,2,3,0,1,2,3,0,66.42
228,Dry,91.5,0.305,0.361,0.002,3.333,0.549,9.5,6.333,126.5,19,14,0,6,19,14,0,91.5
238,Progenitor,67.84,0.226,0.309,0.0,2.0,0.363,1.5,3.0,171.0,7,4,1,2,7,4,1,67.84
241,yasashiikumo,61.67,0.206,0.248,0.0,2.0,0.365,1.0,1.333,135.0,5,8,2,3,5,8,2,61.67
250,md22,71.19,0.237,0.25,0.0,1.5,0.461,3.0,1.5,96.5,2,7,0,2,2,7,0,71.19
263,Tvaz,88.82,0.296,0.441,0.001,2.0,0.435,6.4,7.0,153.4,46,51,9,10,25,26,7,88.82
268,civiltwlight,132.4,0.441,0.746,0.002,0.2,0.552,10.0,20.4,128.4,12,14,2,5,12,14,2,132.4
