Player ID,Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE,Onlist,Offlist,Rig %,Rigs,Solo rigs,Missed solos,Rigs hit,Rigs missed,Lives lost on rigs,Offlist erigs,avg/8 of your rigs,Offlist hit
16,2026-05-31 22:15:29,115.0,yahallonyanpasu,42.391,140.566,7,1,0,3.179,22,0,42.391,0,10,12,39,92,3,2,0,66.667,35.211,22.826,21,5,1,14,7,2,2,2.381,25
20,2026-05-25 18:08:21,154.25,kar72,80.0,173.193,8,7,0,4.171,53,0,80,0,18,28,118,164,16,15,1,96,74.39,34.4,50,8,1,48,6,3,2,4.02,70
26,2026-06-06 11:50:34,105.0,asleep,62.308,153.997,5,5,0,3.802,31,0,62.308,0,16,12,81,130,3,3,0,96.875,51.02,24.615,32,2,0,31,1,0,2,3.688,50
31,2026-06-06 11:50:34,112.27,SakurabaRola,57.364,127.209,3,6,0,4.27,28,0,57.364,0,13,10,74,130,6,5,0,79.592,43.75,47.692,62,10,4,45,17,2,1,3.449,35
33,2026-02-13 22:29:59,65.4,Tsui,61.404,65.522,2,2,0,3.857,29,0,61.404,0,6,24,70,114,1,4,0,70,59.574,17.544,20,4,2,14,6,1,1,3.05,56
37,2026-06-06 11:50:34,132.69,claydoll1091,57.658,149.177,15,9,0,4.247,36,0,57.658,0,17,21,73,151,17,16,1,93.103,50.575,7.5,32,10,2,27,6,4,15,3.655,47
38,2026-06-06 11:50:34,167.379,Diukes,70.27,216.768,11,9,2,4.0,61,0,70.27,0,21,39,108,167,37,34,3,87.805,63.636,53.237,74,12,8,51,23,8,6,3.768,60
40,2026-05-09 18:47:35,93.0,FUCK_AMQ,25.758,68.583,2,8,0,3.588,15,0,25.758,0,6,6,34,132,5,1,0,50,12.791,34.848,46,4,0,23,23,5,0,2.913,11
41,2026-05-25 18:08:21,161.2,koroshiya,74.336,244.706,28,5,1,3.928,65,0,74.336,0,30,30,92,132,14,13,0,92.308,74.336,39.394,52,12,4,48,9,3,28,3.806,84
45,2026-03-16 22:36:01,55.1,LeNainDuPSG,52.212,49.688,3,4,0,4.375,26,0,52.212,0,9,14,59,113,6,4,0,78.788,37.5,40.708,46,7,1,34,12,5,0,3.545,30
46,2026-06-04 14:12:44,105.69,Orfey,45.37,128.926,6,7,3,4.477,28,0,45.37,0,11,12,66,164,22,16,2,93.333,28.571,33.121,52,16,2,40,12,2,2,4.333,31
51,2026-05-25 18:08:21,115.0,Chata,53.704,133.785,4,5,1,4.017,23,0,53.704,0,7,6,58,108,3,2,0,92,42.169,23.148,25,3,0,23,2,0,2,3.68,35
52,2026-03-16 22:36:01,65.16,Thaleko,76.087,86.327,5,4,0,3.899,31,0,76.087,0,11,16,70,108,5,5,0,96,65.079,31.522,29,9,0,29,1,1,1,3.276,45
58,2026-05-30 10:30:04,106.0,Lika,48.182,150.895,9,5,0,3.434,28,0,48.182,0,16,12,53,110,4,2,0,92.308,34.524,23.636,26,6,0,24,2,1,2,2.577,29
65,2026-03-16 22:36:01,45.0,Baguett,51.22,55.104,2,3,0,3.786,21,0,51.22,0,7,7,42,82,3,2,0,94.737,38.095,23.171,19,4,0,18,1,1,0,3.579,24
66,2026-05-09 18:47:35,99.45,bamboo,47.287,131.13,6,5,1,3.9,29,0,47.287,0,9,12,61,129,1,10,0,100,33.333,20.93,27,12,0,27,0,0,0,3.538,34
76,2026-05-31 22:15:29,105.0,comfv,35.659,79.829,3,5,0,4.174,17,0,35.659,0,9,6,46,129,5,6,0,88.462,22.33,20.155,26,3,1,23,3,1,0,3.385,23
77,2026-05-31 22:15:29,110.0,neptune,55.963,114.042,0,3,0,4.066,20,0,55.963,0,2,13,61,109,0,5,0,87.179,38.571,35.78,39,1,1,34,5,3,0,3.821,27
81,2026-05-30 10:30:04,101.63,Pile,47.297,94.194,6,5,1,4.271,27,0,47.297,0,9,14,70,148,7,5,0,75,21.053,48.649,72,5,1,54,18,4,1,3.75,16
82,2026-06-04 14:12:44,125.0,ShiinaMahiru,56.954,129.955,1,9,0,4.695,26,0,56.954,0,6,10,86,151,5,6,1,94.872,43.966,25.828,39,6,2,37,2,0,0,4.128,51
83,2026-05-16 18:27:43,135.0,Milar,50.0,155.269,4,1,0,3.778,24,0,50,0,10,7,54,108,2,3,1,80.769,40.244,24.074,26,5,0,21,5,2,0,2.923,33
85,2026-04-14 21:18:33,40.0,Animerod,38.614,35.431,0,9,2,4.466,20,0,38.614,0,7,11,58,151,6,4,1,87.179,28,25.828,39,7,3,34,8,3,0,3.897,24
87,2026-05-25 18:08:21,123.15,Beokros,59.259,167.509,5,6,1,4.397,37,0,59.259,0,12,14,69,151,13,8,2,92,39.344,46.154,54,12,2,46,9,5,1,3.74,24
88,2026-05-16 18:27:43,120.0,Emdiel,44.697,124.279,6,5,0,4.068,20,0,44.697,0,9,5,59,132,4,2,0,77.083,26.19,36.364,48,8,3,37,11,4,0,3.25,22
90,2026-04-23 18:00:49,80.0,Keizan,23.333,51.917,3,23,0,3.179,15,0,23.333,0,5,9,28,120,4,2,0,94.118,11.65,14.167,17,9,0,16,1,0,0,2.824,12
91,2026-01-02 22:09:11,30.0,Baikinman,30.973,20.927,1,7,0,4.543,10,0,30.973,0,4,3,35,113,1,4,0,45.455,17.241,48.673,55,8,4,25,30,3,0,3.6,10
97,2026-05-31 22:15:29,95.74,chaabdu92,48.454,126.683,4,6,0,3.897,18,0,48.454,0,11,5,47,97,5,4,0,94.286,22.581,36.082,35,8,0,33,4,1,1,3.909,14
98,2026-04-23 18:00:49,100.0,Comete,49.324,48.483,4,4,1,4.178,9,0,49.324,0,13,8,73,148,6,11,0,93.023,35.526,32.743,43,7,1,40,11,3,0,4.023,33
100,2026-03-16 22:36:01,46.88,IrinaShidou,41.6,27.728,0,4,0,4.731,11,0,41.6,0,2,1,52,125,4,1,0,63.333,21.538,48,60,7,2,38,22,3,0,3.817,14
