Player ID,Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE,Onlist,Offlist,Rig %,Rigs,Solo rigs,Missed solos,Rigs hit,Rigs missed,Lives lost on rigs,Offlist erigs,avg/8 of your rigs,Offlist hit
16,2026-05-21 18:41:49,125.0,yahallonyanpasu,37.349,106.224,3,8,4,4.258,26,0,0,37.349,14,8,62,166,6,0,0,69.091,21.622,33.133,55,11,4,38,17,2,0,3.782,24
34,2026-05-21 18:41:49,140.0,YuriMeguri,70.76,187.199,4,11,0,4.38,44,0,0,70.76,13,25,121,171,2,3,1,76.389,66.667,42.105,72,8,5,55,17,3,1,4.125,66
58,2026-05-25 15:51:09,140.97,Lika,58.065,189.043,7,8,0,3.759,24,0,0,58.065,17,8,54,93,3,2,0,93.548,40.323,33.333,31,10,2,29,2,0,0,2.871,25
59,2026-05-25 15:51:09,147.374,neoburnz,74.603,182.613,7,8,0,4.905,35,0,0,74.603,14,25,126,191,8,17,1,95.556,62.963,41.964,59,8,1,54,7,3,2,4.492,74
77,2026-05-21 18:41:49,121.68,neptune,62.048,143.131,1,9,0,4.544,33,0,0,62.048,6,29,103,166,9,2,0,95.652,45.055,41.566,69,6,2,66,4,2,0,4.174,41
79,2026-05-21 18:41:49,130.61,JuliAless64,56.579,110.129,2,9,0,5.372,18,0,0,56.579,5,13,86,152,2,9,0,79.688,32.432,51.316,78,7,3,62,16,4,0,4.731,24
82,2026-05-25 15:51:09,138.263,ShiinaMahiru,68.939,169.452,5,8,1,5.044,46,0,0,68.939,17,23,95,144,15,11,1,96.667,60.784,26.619,38,4,0,38,2,1,2,4.763,64
97,2026-04-30 15:50:01,105.0,chaabdu92,33.846,73.3,4,5,4,4.773,12,0,0,33.846,5,5,44,130,3,2,0,77.5,14.444,30.769,40,6,4,31,9,1,0,4.0,13
100,2026-04-30 15:50:01,113.74,IrinaShidou,58.955,123.948,2,9,0,4.519,24,0,0,58.955,5,9,79,134,3,2,0,78.082,36.066,54.478,73,5,3,57,16,1,0,3.918,22
119,2026-06-12 12:26:12,127.639,Fumiii,73.214,158.241,8,8,0,4.966,42,0,0,73.214,16,24,123,191,21,17,1,97.849,42.667,55.357,94,10,2,91,10,2,1,4.975,34
121,2026-06-20 01:57:10,102.53,Janoxx,34.821,133.253,11,8,5,4.727,23,0,0,34.821,18,5,44,171,10,11,1,92.857,19.78,18.75,21,14,1,21,1,0,1,3.35,24
134,2026-04-30 15:50:01,110.0,Jakemonkey,43.284,102.193,3,9,0,4.414,21,0,0,43.284,11,3,58,134,3,2,0,87.879,28.713,24.627,33,2,1,29,4,0,0,3.97,29
143,2026-06-12 12:26:12,122.596,mahzrunner,58.219,124.431,5,8,0,4.976,31,0,0,58.219,16,12,88,161,15,13,0,87.302,41.758,41.007,63,11,2,55,11,2,2,4.582,39
149,2026-05-21 18:41:49,122.14,Zozo,58.065,125.085,7,6,2,4.7,26,0,0,58.065,14,13,90,155,8,14,0,90.385,39.785,41.29,64,6,3,54,10,3,2,4.519,37
150,2026-05-25 15:51:09,114.049,Bommie,62.264,117.481,4,8,3,5.268,25,0,0,62.264,7,10,99,159,9,12,0,95.714,31.325,54.225,82,5,2,77,5,2,1,5.109,26
159,2026-06-20 01:57:10,88.11,legrandort,36.296,64.624,4,6,0,4.857,11,0,0,36.296,5,5,49,135,7,4,0,94.286,20,25.926,35,5,0,33,3,0,0,4.486,17
164,2026-06-12 12:26:12,81.79,IAmAsianNoob,44.643,48.263,0,5,3,5.651,8,0,0,44.643,3,3,75,168,4,8,0,91.489,26.446,27.976,47,4,1,43,7,2,0,5.298,32
171,2026-06-12 12:26:12,90.628,JustAWeirdo,36.986,68.056,2,7,4,5.804,11,0,0,36.986,5,6,56,162,9,18,1,90.625,24.818,22.137,32,7,2,29,3,0,0,5.48,34
172,2026-06-12 12:26:12,80.0,oolli,36.076,50.929,2,7,4,5.316,13,0,0,36.076,5,3,57,158,4,2,0,68.182,13.043,41.772,66,3,0,45,21,2,0,4.606,12
174,2026-05-15 15:47:39,85.28,TateyamaAyano,27.972,45.122,1,8,10,5.225,7,0,0,27.972,3,3,40,143,0,5,0,63.83,10.417,32.867,47,7,4,30,17,1,0,3.915,10
176,2026-05-25 15:51:09,104.34,Spitzell,56.897,118.51,5,6,1,5.133,21,0,0,56.897,9,15,75,155,9,7,0,95.833,30.137,41.379,51,9,1,46,7,3,1,4.771,31
191,2026-05-25 15:51:09,115.56,redeyes,51.493,110.341,2,13,2,4.826,26,0,0,51.493,7,15,69,134,2,3,0,72.222,27.419,53.731,72,3,3,52,20,4,0,4.347,17
205,2026-06-20 01:57:10,108.64,sssthnoob,53.704,101.916,4,5,1,5.322,7,0,0,53.704,11,11,87,162,8,12,1,86.301,26.966,52.381,73,6,3,63,16,3,0,4.781,24
217,2026-06-20 01:57:10,114.2,ShelterRin,66.038,124.841,3,7,0,5.222,30,0,0,66.038,8,18,105,171,5,10,2,93.103,52.941,36.478,58,2,3,54,5,1,1,4.727,51
225,2026-03-13 15:56:00,80.0,MythAndroid,17.391,0.0,1,7,0,5.062,4,0,0,17.391,2,0,16,92,3,2,0,41.667,1.786,39.13,36,6,2,15,21,2,0,3.667,1
238,2026-04-09 15:36:48,104.35,Progenitor,49.324,114.002,5,5,0,4.37,25,0,0,49.324,15,4,73,148,2,3,1,81.633,33.333,33.108,49,8,2,40,9,1,1,3.592,33
244,2026-05-25 15:51:09,104.69,KNotAnyMore,61.644,99.277,3,9,3,5.462,23,0,0,61.644,9,11,90,146,14,13,0,93.878,48.864,41.88,58,5,2,47,14,3,2,4.773,43
247,2026-06-20 01:57:10,101.402,Shadow,62.329,122.981,6,9,1,5.554,9,0,0,62.329,12,13,91,158,23,20,0,91.935,39.241,45.89,67,10,2,60,9,3,1,5.37,31
259,2026-06-12 12:26:12,87.304,Patoche49,51.634,69.688,2,8,1,5.588,7,0,0,51.634,5,10,79,153,15,7,0,97.059,32.039,32.68,50,4,1,46,7,2,1,5.529,33
